,2,4,5,6,8,10,15,17,19,20,21,22,23,24,25,26,27,29,30
2,1.0,0.1666666716, ,1.0,1.0,1.0, , , ,1.0, ,1.0, ,1.0, ,1.0, , , 
4,1.0,0.9411764741, ,1.0,1.0,0.6487026215, , , ,0.7076354027, ,0.5605571866, ,1.0, ,0.9984222054, , , 
6,1.0,0.75, ,0.4428571463,0.9064039588,0.8545331359, , , ,0.8513812423, ,0.828237772, ,0.895021081, ,0.867941916, , , 
8,1.0,0.9166666865, ,0.8089172244,0.908385098,0.7444401383, , , ,0.9838581681, ,0.9622969031, ,0.9470942616, ,0.8021479845, , , 
10,1.0,1.0, ,0.9725490212,0.991879344,0.9936755896, , , ,0.9556332231, ,0.9689148664, ,0.9618320465, ,0.9879845381, , , 
16, , , , , , ,0.9787068367,0.9950281978,0.9825909734, ,0.9852646589, ,0.9499232769, ,0.993078053, ,0.9889757037,0.9333427548, 
18, , , , , , ,0.9705749154,0.9923464656,0.9912759662, ,0.991664052, ,0.9703412056, ,0.9927484393, ,0.9885994792,0.991171062, 
20, , , , , , ,0.9962723255,0.9768252969,0.9997370243, ,0.9692031741, ,0.9954196215, ,0.9879817963, ,0.9866114855,0.999706924, 
22, , , , , , ,0.9986041784,0.9996755123,0.9984446764, ,0.9951533675, ,0.9712923169, ,0.9894952774, ,0.978479147,0.9966548085, 
24, , , , , , ,0.9788857698,0.9840753078,0.9918878078, ,0.9987823367, ,0.9892721176, ,0.9898923635, ,0.9913706779,0.9968388081, 
26, , , , , , ,0.9786728621,0.9982588291,0.9687322378, ,0.9941384792, ,0.9887818098, ,0.9969300032, ,0.9876844287,0.9917870164, 
28, , , , , , ,0.986463666,0.9969831109,0.9998335242, ,0.9855380058, ,0.9964243174, ,0.997076273, ,0.9927638173,0.9911632538, 
30, , , , , , ,0.996391058,0.9847220778,0.9952268004, ,0.982401073, ,0.9994821548, ,0.9975917935, ,0.9752383232,0.993763268, 
50, , , , , , ,0.9982882142, , ,0.9997550845, , , , ,0.9988487363, , , ,0.9966003895
60, , , , , , ,0.9937543869, , ,0.9965489507, , , , ,0.9999685884, , , ,0.6034702063
70, , , , , , ,0.9993009567, , ,0.9998383522, , , , ,0.9982408881, , , ,0.9968363047
80, , , , , , ,0.9981595874, , ,0.9991190434, , , , ,0.9987316728, , , ,0.9835341573
90,1.0, ,0.9947984219, ,0.9990477562, ,0.9998779297, , ,0.9981872439, , , , ,0.9968025088, , , ,0.9946404099
92,1.0, ,1.0, ,0.9993373156, , , , , , , , , , , , , , 
94,1.0, ,1.0, ,1.0, , , , , , , , , , , , , , 
96,1.0, ,1.0, ,0.9998207092, , , , , , , , , , , , , , 
98,1.0, ,1.0, ,0.9990352392, , , , , , , , , , , , , , 
100,1.0, ,1.0, ,0.9989801049, ,0.9971769452, , ,0.9993083477, , , , ,0.9996700287, , , ,0.9797360897
